school_id,name,country,base_url,careers_link,ats_platform,confidence,notes,scraper_status
129,National University,US,https://www.nu.edu/,https://nus.wd1.myworkdayjobs.com/en-US/Careers,Workday,high,OK-2hop:OK:8,adapter built
131,Northcentral University,US,https://www.nu.edu/,https://www.northcentral.edu/about/employment/current-job-openings/,own website,high,OK-2hop:OK:8,generic scraper
133,San Diego State University,US,https://www.sdsu.edu/,https://careers.sdsu.edu/en-us/filter/?search-keyword=&work-type=instructional%20faculty%20-%20temporary%2flecturer&work-type=instructional%20faculty%20%e2%80%93%20tenured%2ftenure-track&job-mail-subscribe-privacy=agree,own website,high,OK-2hop:OK:12,generic scraper
135,University of San Diego,US,https://www.sandiego.edu/,https://www.sandiego.edu/outcomes/careers/,own website,medium,OK-2hop:OK:2 [playwright],generic scraper
138,Golden Gate University,US,https://www.ggu.edu/,https://www.paycomonline.net/v4/ats/web.php/jobs?clientkey=1A449B35167BB40706C055A54E4FB0DA,own website,medium,OK-2hop:OK:4,generic scraper
139,San Francisco State University,US,https://www.sfsu.edu/,https://careers.pageuppeople.com/873/sf/en-us/filter/?search-keyword=&job-mail-subscribe-privacy=agree,PageUp,medium,OK:1,generic scraper (verified working)
140,University of San Francisco,US,https://www.usfca.edu/,https://usfca.wd5.myworkdayjobs.com/USF_Full-Time_Faculty,Workday,high,OK-2hop:OK:8,adapter built
141,San Jose State University,US,https://www.sjsu.edu/,https://jobs.sjsu.edu/en-us/filter/?search-keyword=&work-type=instructional%20faculty%20-%20temporary%2flecturer&work-type=instructional%20faculty%20%e2%80%93%20tenured%2ftenure-track&job-mail-subscribe-privacy=agree,own website,not_found,NO_MATCH [playwright],generic scraper
143,California Polytechnic State University-San Luis Obispo,US,https://calpoly.edu/,https://jobs.calpoly.edu/sl/en-us/filter/?search-keyword=&work-type=instructional%20faculty%20-%20temporary%2flecturer&work-type=instructional%20faculty%20%e2%80%93%20tenured%2ftenure-track&job-mail-subscribe-privacy=agree,own website,medium,OK-2hop:OK:5,generic scraper
144,California State University-San Marcos,US,https://www.csusm.edu/,https://careersmanager.pageuppeople.com/873/sm/en-us/filter/?job-mail-subscribe-privacy=agree&search-keyword=&work-type=instructional%20faculty%20-%20temporary%2flecturer&work-type=instructional%20faculty%20%e2%80%93%20tenured%2ftenure-track,PageUp,medium,OK-2hop:OK:12,generic scraper (verified working)
